Elav_RNASeq_UP
FBgn0284243
FBgn0024733
FBgn0034138
FBgn0039858
FBgn0022959
FBgn0085412
FBgn0003380
FBgn0010411
FBgn0040007
FBgn0003884
FBgn0003520
FBgn0000489
